# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       46.244244     0.024614832       123.32189
3.000       47.249554     0.021848003       116.75490
3.000       48.254863     0.022560688       128.42390
3.000       49.260173     0.022547533       136.53912
3.000       50.265482     0.021427376       137.86335
3.000       51.270792     0.020148601       137.57048
3.000       52.276102     0.020452628       148.02292
3.000       53.281411     0.020673577       158.42111
3.000       54.286721     0.019622283       159.03789
3.000       55.292031     0.019213834       164.54016
3.000       56.297340     0.018574178       167.89722
3.000       57.302650     0.019216559       183.17660
3.000       58.307960     0.019269106       193.51533
3.000       59.313269     0.019318401       204.21941
3.000       60.318579     0.018084400       201.06093
3.000       61.323889     0.017995672       210.24582
3.000       62.329198     0.017832742       218.75753
3.000       63.334508     0.017561952       226.02904
3.000       64.339818     0.017517154       236.35962
3.000       66.350437     0.017489348       258.80653
3.000       68.361056     0.016329166       264.27772
3.000       70.371675     0.015746708       278.00570
3.000       72.382295     0.016765552       322.09588
3.000       74.392914     0.015545394       324.24009
3.000       76.403533     0.014933048       337.41086
3.000       78.414153     0.015314044       374.06193
3.000       80.424772     0.015002676       395.37436
3.000       82.435391     0.015328170       435.01243
3.000       84.446011     0.015447728       471.27271
3.000       86.456630     0.015501234       507.49460
3.000       88.467249     0.014459535       507.19174
3.000       90.477868     0.014248442       534.64402
3.000       92.488488     0.013996529       560.98811
3.000       94.499107     0.013761531       588.32880
3.000       96.509726     0.013450140       612.50597
3.000       98.520346     0.013273407       643.02883
3.000       100.53096     0.013206089       679.74189
3.000       102.54158     0.013557515       740.54326
3.000       104.55220     0.012962051       750.48766
3.000       106.56282     0.013419234       822.65007
3.000       108.57344     0.013843461       897.60601
3.000       110.58406     0.013675111       936.86868
3.000       112.59468     0.013249107       958.09919
3.000       114.60530     0.012753473       972.55203
3.000       116.61592     0.013083038       1051.1202
3.000       118.62654     0.011908336       1007.0868
3.000       120.63716     0.012092548       1075.5519
3.000       122.64778     0.012507282       1168.9939
3.000       124.65840     0.012072777       1184.7918
3.000       126.66902     0.012595968       1296.9194
3.000       128.67964     0.012033187       1298.9139
3.000       132.70087     0.011410678       1350.8374
3.000       136.72211     0.011761570       1522.8314
3.000       140.74335     0.010885443       1537.4466
3.000       144.76459     0.010788336       1658.1039
3.000       148.78583     0.010408347       1736.7476
3.000       152.80707     0.010726850       1938.9776
3.000       156.82831     0.011067008       2162.5882
3.000       160.84954     0.010367271       2185.7183
3.000       164.87078    0.0099969134       2269.6939
3.000       168.89202    0.0097888937       2389.0832
3.000       172.91326     0.010037736       2629.0020
3.000       176.93450    0.0096114288       2697.0921
3.000       180.95574    0.0087696778       2632.5157
3.000       184.97698    0.0086035268       2758.6703
3.000       188.99821    0.0081479185       2786.6988
3.000       193.01945    0.0085234165       3105.1831
3.000       197.04069    0.0087933786       3407.9546
3.000       201.06193    0.0081912304       3372.9425
3.000       205.08317    0.0079717574       3483.4885
3.000       209.10441    0.0077533444       3591.2769
3.000       213.12565    0.0070648314       3464.8082
3.000       217.14688    0.0067678274       3510.5919
3.000       221.16812    0.0064871824       3555.4450
3.000       225.18936    0.0066942135       3872.6962
3.000       229.21060    0.0065079576       3970.2611
3.000       233.23184    0.0062845869       4039.3409
3.000       237.25308    0.0061331676       4149.4511
3.000       241.27432    0.0061242018       4357.6569
3.000       245.29555    0.0058095580       4343.9256
3.000       249.31679    0.0054673305       4292.4000
3.000       253.33803    0.0054855738       4518.4918
3.000       257.35927    0.0055291596       4774.7302
3.000       265.40175    0.0046621895       4415.4149
3.000       273.44422    0.0040204996       4164.4394
3.000       281.48670    0.0051449521       5813.3335
3.000       289.52918    0.0036433919       4479.7437
3.000       297.57166    0.0037775195       5042.5668
3.000       305.61413    0.0050212223       7261.0598
3.000       313.65661    0.0038660651       6043.6980
3.000       321.69909    0.0037983511       6406.4118
3.000       329.74156    0.0039090304       7100.0335
3.000       337.78404    0.0042159227       8231.5247
3.000       345.82652    0.0037014882       7755.7090
3.000       353.86900    0.0028327860       6359.3331
3.000       361.91147    0.0031396831       7539.8574
3.000       369.95395    0.0031612816       8109.1709
3.000       377.99643    0.0031220368       8542.2320
3.000       386.03891    0.0030558129       8906.1550
3.000       394.08138    0.0033238933       10305.643
3.000       402.12386    0.0028236555       9301.6821
3.000       410.16634    0.0035049709       12252.782
3.000       418.20881    0.0025724572       9532.3058
3.000       426.25129    0.0031861465       12500.665
3.000       434.29377    0.0034024515       14119.295
3.000       442.33625    0.0026409121       11579.286
3.000       450.37872    0.0031400794       14532.639
3.000       458.42120    0.0024372825       11895.158
3.000       466.46368    0.0029678676       15260.483
3.000       474.50615    0.0023231343       12573.904
3.000       482.54863    0.0027025517       15383.939
3.000       490.59111    0.0028772424       17210.985
3.000       498.63359    0.0028811038       18095.632
3.000       506.67606    0.0021731865       14320.508
3.000       514.71854    0.0027505041       19001.680
2.750     0.015707963       1270.5785   0.00024947750
