# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       76.403533    0.0027141425       61.325801
3.000       78.414153    0.0026685761       65.182830
3.000       80.424772    0.0022622436       59.618239
3.000       82.435391    0.0022258082       63.168289
3.000       84.446011    0.0020071327       61.232748
3.000       86.456630    0.0019139061       62.659336
3.000       88.467249    0.0016809648       58.962575
3.000       90.477868    0.0014744307       55.325035
3.000       92.488488    0.0012955811       51.927559
3.000       94.499107    0.0014017747       59.928249
3.000       96.509726    0.0012548348       57.143924
3.000       98.520346    0.0011151120       54.021484
3.000       100.53096    0.0011463690       59.005740
3.000       102.54158    0.0010724605       58.580306
3.000       104.55220   0.00099322596       57.506627
3.000       106.56282   0.00097967127       60.057573
3.000       108.57344   0.00085744473       55.596470
3.000       110.58406   0.00072685778       49.796327
3.000       112.59468   0.00081001562       58.575671
3.000       114.60530   0.00075095785       57.266406
3.000       116.61592   0.00067180348       53.974177
3.000       118.62654   0.00064423265       54.482693
3.000       120.63716   0.00053213579       47.329947
3.000       122.64778   0.00060516351       56.561646
3.000       124.65840   0.00052381314       51.405697
3.000       126.66902   0.00037063785       38.162008
3.000       128.67964   0.00039985780       43.162371
3.000       132.70087   0.00043687449       51.718782
3.000       136.72211   0.00026539811       34.362469
3.000       140.74335   0.00030648999       43.288268
3.000       144.76459   0.00024867546       38.219959
3.000       148.78583   0.00030574221       51.016465
3.000       152.80707   0.00020855076       37.697482
3.000       156.82831   0.00018995602       37.119033
3.000       160.84954   0.00024872597       52.438576
3.000       164.87078   0.00014886257       33.797678
3.000       168.89202   0.00014126061       34.476148
3.000       172.91326   9.5744818e-05       25.076703
3.000       176.93450   0.00016053865       45.049235
3.000       180.95574   0.00011941165       35.845450
3.000       184.97698   0.00012521469       40.149353
3.000       188.99821   1.6201859e-05       5.5412560
3.000       193.01945   9.6718115e-05       35.235572
3.000       197.04069   0.00011710250       45.384150
3.000       201.06193   0.00010526091       43.343793
3.000       205.08317   7.7110366e-05       33.695591
3.000       209.10441   5.0648548e-05       23.459936
3.000       213.12565   0.00010918493       53.547611
3.000       217.14688  -5.4403967e-07     -0.28220300
3.000       221.16812   6.4297496e-05       35.239677
3.000       225.18936   3.1585313e-05       18.272545
3.000       229.21060   2.6651312e-05       16.258967
3.000       233.23184  -4.3901716e-05      -28.217288
3.000       237.25308   7.1471544e-05       48.354733
3.000       241.27432   0.00011311180       80.484354
3.000       245.29555   9.3265455e-06       6.9736493
3.000       249.31679   2.3506942e-05       18.455295
3.000       253.33803   6.2932350e-05       51.837659
3.000       257.35927   7.4000531e-05       63.903485
3.000       265.40175   0.00011185823       105.93746
3.000       273.44422   0.00011871098       122.96101
3.000       281.48670   4.8874291e-05       55.223557
3.000       289.52918  -6.4063836e-05      -78.769885
3.000       297.57166   1.5601455e-06       2.0826201
3.000       305.61413   8.6996025e-05       125.80270
3.000       313.65661   5.9097590e-07      0.92385405
3.000       321.69909   1.2539602e-05       21.149666
3.000       329.74156   4.7827056e-06       8.6869034
3.000       337.78404  -9.2468830e-05      -180.54398
3.000       345.82652  -3.3155010e-05      -69.469520
3.000       353.86900  -3.1330724e-05      -70.334472
3.000       361.91147  -2.7715912e-06      -6.6558953
3.000       369.95395  -4.7029712e-05      -120.63841
3.000       377.99643   1.5864728e-05       43.407619
3.000       386.03891   6.7865730e-05       197.79441
3.000       394.08138  -4.2398508e-05      -131.45545
3.000       402.12386   1.8280014e-05       60.217999
3.000       410.16634  -1.8045791e-05      -63.085018
3.000       418.20881   4.5186478e-05       167.43964
3.000       426.25129  -7.3763728e-05      -289.40781
