# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       2.9530971       2.1625617       2.8214473
2.750       3.0159289       2.1025912       2.9220553
2.750       3.0787608       2.0440659       3.0219899
2.750       3.1415927       1.9999469       3.1415093
2.750       3.2044245       1.9244263       3.2079063
2.750       3.2672564       1.9094230       3.3738211
2.750       3.3300882       1.8181718       3.4015150
2.750       3.3929201       1.7718580       3.5060658
2.750       3.4557519       1.7130366       3.5814969
2.750       3.5185838       1.6857719       3.7202553
2.750       3.5814156       1.6253244       3.7824613
2.750       3.6442475       1.6054592       3.9363446
2.750       3.7070793       1.5781327       4.0729533
2.750       3.7699112       1.5028669       4.0792859
2.750       3.8327430       1.4948631       4.2638389
2.750       3.8955749       1.4450889       4.3279227
2.750       3.9584067       1.4139404       4.4428600
2.750       4.0212386       1.4091487       4.6420158
2.750       4.1469023       1.3313885       4.8100154
2.750       4.2725660       1.2703726       5.0195841
2.750       4.3982297       1.2198538       5.2578933
2.750       4.5238934       1.1878808       5.5716035
2.750       4.6495571       1.1321407       5.7650812
2.750       4.7752208       1.0961052       6.0464835
2.750       4.9008845       1.0471810       6.2447551
2.750       5.0265482       1.0147179       6.5286766
2.750       5.1522120      0.96091650       6.6578970
2.750       5.2778757      0.93606552       6.9719453
2.750       5.4035394      0.90078287       7.1998813
2.750       5.5292031      0.88507411       7.5794469
2.750       5.6548668      0.84854461       7.7734189
2.750       5.7805305      0.84042743       8.2238194
2.750       5.9061942      0.79505435       8.2983213
2.750       6.0318579      0.77615884       8.6292722
2.750       6.1575216      0.74241693       8.7808378
2.750       6.2831853      0.71872170       9.0317233
2.750       6.4088490      0.70993042       9.4673005
2.750       6.5345127      0.68361953       9.6632751
2.750       6.6601764      0.66320235       9.9259828
2.750       6.7858401      0.64534312       10.215787
2.750       6.9115038      0.63278572       10.583872
2.750       7.0371675      0.61742541       10.900551
2.750       7.1628313      0.58655100       10.920190
2.750       7.2884950      0.57933719       11.363582
2.750       7.4141587      0.57099800       11.789367
2.750       7.5398224      0.55198990       11.986289
2.750       7.6654861      0.53905644       12.300523
2.750       7.7911498      0.52979117       12.693449
2.750       7.9168135      0.51794828       13.019907
2.750       8.0424772      0.50062922       13.193377
2.750       8.2938046      0.47973532       13.865430
2.750       8.5451320      0.45140544       14.268995
2.750       8.7964594      0.43114484       14.866789
2.750       9.0477868      0.41443200       15.550724
2.750       9.2991143      0.39698989       16.172399
2.750       9.5504417      0.37964139       16.753833
2.750       9.8017691      0.35828934       17.092971
2.750       10.053096      0.34858648       17.942392
2.750       10.304424      0.33247957       18.429195
2.750       10.555751      0.31858424       18.982876
2.750       10.807079      0.30475816       19.487250
2.750       11.058406      0.30198216       20.688507
2.750       11.309734      0.28518406       20.900305
2.750       11.561061      0.27766170       21.735984
2.750       11.812388      0.26513352       22.138493
2.750       12.063716      0.25360718       22.556676
2.750       12.315043      0.24471240       23.154428
2.750       12.566371      0.23749697       23.875799
2.750       12.817698      0.22822158       24.347651
2.750       13.069025      0.22256392       25.168344
2.750       13.320353      0.21869250       26.184925
2.750       13.571680      0.20699280       26.213581
2.750       13.823008      0.20100939       26.896406
2.750       14.074335      0.19209854       27.131761
2.750       14.325663      0.18857822       28.087038
2.750       14.576990      0.18088904       28.384815
2.750       14.828317      0.17802118       29.404754
2.750       15.079645      0.17458997       30.329334
2.750       15.330972      0.16740201       30.559062
2.750       15.582300      0.16247141       31.141666
2.750       15.833627      0.15851996       31.878321
2.750       16.084954      0.15601797       32.893068
2.750       16.587609      0.14592920       33.741458
2.750       17.090264      0.14037336       35.497785
2.750       17.592919      0.12966192       35.768144
2.750       18.095574      0.12459244       37.400638
2.750       18.598229      0.11857706       38.644320
2.750       19.100883      0.11167048       39.424756
2.750       19.603538      0.10919079       41.673467
2.750       20.106193      0.10560849       43.486919
2.750       20.608848     0.099216217       43.996088
2.750       21.111503     0.096352020       45.929162
2.750       21.614157     0.092851476       47.497856
2.750       22.116812     0.088706657       48.617661
2.750       22.619467     0.084468815       49.523778
2.750       23.122122     0.082063420       51.392877
2.750       23.624777     0.078752529       52.606318
2.750       24.127432     0.076547576       54.467191
2.750       24.630086     0.074168094       56.141651
2.750       25.132741     0.071064245       57.153257
2.750       25.635396     0.068647357       58.588742
2.750       26.138051     0.065154038       58.942859
2.750       26.640706     0.063062554       60.405848
2.750       27.143361     0.061182738       61.985486
2.750       27.646015     0.059246932       63.421098
2.750       28.148670     0.058121283       65.671827
2.750       28.651325     0.056403554       67.206435
2.750       29.153980     0.053758165       67.485154
2.750       29.656635     0.052647274       69.568357
2.750       30.159289     0.051140817       71.072441
2.750       30.661944     0.049542315       72.351182
2.750       31.164599     0.048407861       74.228518
2.750       31.667254     0.047250143       76.015928
2.750       32.169909     0.045138613       76.132126
2.750       33.175218     0.042715294       79.012359
2.750       34.180528     0.040660723       82.258666
2.750       35.185838     0.038949107       85.955059
2.750       36.191147     0.036413029       87.444827
2.750       37.196457     0.035243493       91.886970
2.750       38.201767     0.034114745       96.352444
2.750       39.207076     0.032106118       98.028289
2.750       40.212386     0.030477740       100.39973
2.750       41.217696     0.029874421       105.97926
2.750       42.223005     0.028306535       107.94546
2.750       43.228315     0.026489413       108.40455
2.750       44.233625     0.025237916       110.65762
2.750       45.238934     0.024501280       114.92014
2.750       46.244244     0.023816289       119.32114
2.750       47.249554     0.022960228       122.69859
2.750       48.254863     0.022426831       127.66194
2.750       49.260173     0.021478573       130.06591
2.750       50.265482     0.020685377       133.08934
2.750       51.270792     0.020004550       136.58693
2.750       52.276102     0.019190238       138.88656
2.750       53.281411     0.018371043       140.77685
2.750       54.286721     0.018090667       146.62420
2.750       55.292031     0.017385238       148.88074
2.750       56.297340     0.016810212       151.95223
2.750       57.302650     0.016269847       155.08788
2.750       58.307960     0.015924046       159.92164
2.750       59.313269     0.015439544       163.21509
2.750       60.318579     0.014549073       161.75544
2.750       61.323889     0.014290226       166.95461
2.750       62.329198     0.014090034       172.84504
2.750       63.334508     0.013683886       176.11685
2.750       64.339818     0.013309112       179.58034
2.750       66.350437     0.012031471       178.04113
2.750       68.361056     0.011909912       192.75476
2.750       70.371675     0.011344961       200.29353
2.750       72.382295     0.010515134       202.01429
2.750       74.392914     0.010181284       212.35746
2.750       76.403533    0.0095731178       216.30372
2.750       78.414153    0.0094040259       229.70341
2.750       80.424772    0.0088521394       233.28565
2.750       82.435391    0.0083180858       236.06672
2.750       84.446011    0.0079859199       243.63104
2.750       86.456630    0.0077744372       254.52716
2.750       88.467249    0.0072605724       254.67639
2.750       90.477868    0.0070139427       263.18404
2.750       92.488488    0.0066257205       265.56229
2.750       94.499107    0.0066281486       283.36461
2.750       96.509726    0.0060536757       275.67835
2.750       98.520346    0.0059011702       285.88158
2.750       100.53096    0.0058227082       299.70558
2.750       102.54158    0.0055708776       304.29439
2.750       104.55220    0.0053993888       312.61833
2.750       106.56282    0.0050639237       310.43778
2.750       108.57344    0.0050965981       330.46195
2.750       110.58406    0.0047214802       323.46407
2.750       112.59468    0.0046003334       332.66966
2.750       114.60530    0.0043756595       333.67824
2.750       116.61592    0.0042041015       337.76681
2.750       118.62654    0.0041657777       352.29942
2.750       120.63716    0.0038875150       345.76866
2.750       122.64778    0.0038423788       359.12817
2.750       124.65840    0.0038618815       378.99529
2.750       126.66902    0.0035277467       363.22760
2.750       128.67964    0.0034653404       374.06375
2.750       132.70087    0.0034061986       403.23811
2.750       136.72211    0.0030408108       393.70954
2.750       140.74335    0.0030231358       426.98398
2.750       144.76459    0.0027779011       426.94710
2.750       148.78583    0.0027244581       454.60593
2.750       152.80707    0.0024750924       447.39588
2.750       156.82831    0.0023411514       457.48105
2.750       160.84954    0.0021228575       447.55933
2.750       164.87078    0.0021160387       480.42430
2.750       168.89202    0.0020254146       494.32389
2.750       172.91326    0.0019274378       504.81880
2.750       176.93450    0.0016618566       466.33860
2.750       180.95574    0.0017713476       531.72994
2.750       184.97698    0.0016985349       544.62524
2.750       188.99821    0.0014482651       495.32634
2.750       193.01945    0.0014232753       518.51629
2.750       197.04069    0.0014783644       572.95371
2.750       201.06193    0.0013254517       545.78766
2.750       205.08317    0.0012242499       534.97117
2.750       209.10441    0.0011778809       545.58347
2.750       213.12565    0.0012704771       623.08060
2.750       217.14688    0.0010841376       562.36137
2.750       221.16812   0.00096990087       531.57580
2.750       225.18936    0.0010490367       606.88241
2.750       229.21060   0.00095129039       580.34662
2.750       233.23184    0.0010046291       645.71296
2.750       237.25308   0.00089427033       605.02684
2.750       241.27432   0.00083226163       592.19319
2.750       245.29555   0.00079305578       592.98407
2.750       249.31679   0.00079258127       622.25538
2.750       253.33803   0.00081432619       670.76414
2.750       257.35927   0.00068862048       594.66126
2.750       265.40175   0.00059371426       562.28833
2.750       273.44422   0.00057477185       595.34953
2.750       281.48670   0.00077653027       877.40942
2.750       289.52918   0.00057616697       708.42786
2.750       297.57166   0.00043656901       582.77089
2.750       305.61413   0.00052121459       753.71494
2.750       313.65661   0.00037159441       580.90185
2.750       321.69909   0.00031855579       537.28565
2.750       329.74156   0.00043683363       793.42779
2.750       337.78404   0.00029567337       577.29774
2.750       345.82652   0.00033330464       698.37148
2.750       353.86900   0.00031824204       714.42288
2.750       361.91147   0.00025391436       609.76793
2.750       369.95395   0.00031420617       805.98688
2.750       377.99643   0.00026279325       719.03089
2.750       386.03891   0.00021553058       628.16303
2.750       394.08138   0.00021183065       656.77530
2.750       402.12386   0.00017014425       560.48895
2.750       410.16634   0.00019525755       682.58720
2.750       418.20881   0.00013724328       508.55846
2.750       426.25129   0.00013495148       529.47450
2.750       434.29377   0.00018193310       754.97533
2.750       442.33625   0.00012115355       531.20726
2.750       450.37872   0.00012759259       590.51279
2.750       458.42120   0.00018388063       897.42946
2.750       466.46368   0.00014796913       760.84270
2.750       474.50615   0.00017705721       958.31751
2.750       482.54863   0.00015034693       855.83116
2.750       490.59111   0.00010820486       647.25596
2.750       498.63359   0.00012975860       814.98758
2.750       506.67606   0.00011676863       769.46277
2.750       514.71854   0.00017890537       1235.9562
2.500     0.062831853       411.65257    0.0051729788
2.500      0.12566371       655.73217     0.065921387
2.500      0.18849556       248.50325     0.084315165
2.500      0.25132741       174.09946      0.14001909
2.500      0.31415927       112.28429      0.17637575
2.500      0.37699112       82.489219      0.22390346
2.500      0.43982297       60.701555      0.26163980
2.500      0.50265482       47.587309      0.30617588
2.500      0.56548668       36.983844      0.33880471
2.500      0.62831853       32.523933      0.40870780
2.500      0.69115038       28.094851      0.46990996
2.500      0.75398224       22.451652      0.48753064
2.500      0.81681409       20.448840      0.56455804
2.500      0.87964594       18.021214      0.62140969
2.500      0.94247780       15.921183      0.67524128
2.500       1.0053096       14.345575      0.73839337
2.500       1.0681415       12.724106      0.78556819
2.500       1.1309734       11.596154      0.84984819
2.500       1.1938052       10.886032      0.93829693
2.500       1.2566371       9.8057057      0.98577706
2.500       1.3194689       9.1374614       1.0633918
2.500       1.3823008       8.5238240       1.1405449
2.500       1.4451326       7.7729031       1.1884383
2.500       1.5079645       7.3126739       1.2703395
2.500       1.5707963       6.8703741       1.3489948
2.500       1.6336282       6.4271091       1.4195333
2.500       1.6964600       6.1406990       1.5188643
2.500       1.7592919       5.9241608       1.6342210
2.500       1.8221237       5.4340017       1.6654194
2.500       1.8849556       5.2466891       1.7801597
2.500       1.9477874       4.9535894       1.8544493
2.500       2.0106193       4.7944714       1.9742426
2.500       2.0734512       4.4974937       2.0310577
2.500       2.1362830       4.3524651       2.1497201
2.500       2.1991149       4.1136041       2.2163405
2.500       2.2619467       3.9060205       2.2900865
2.500       2.3247786       3.8997982       2.4823166
2.500       2.3876104       3.6800928       2.5375782
2.500       2.4504423       3.6328228       2.7079953
2.500       2.5132741       3.4258073       2.7551977
2.500       2.5761060       3.3676561       2.9166826
2.500       2.6389378       3.1745394       2.9555510
2.500       2.7017697       3.1187790       3.1160171
2.500       2.7646015       3.0606298       3.2762625
2.500       2.8274334       2.9458802       3.3733584
2.500       2.8902652       2.8572813       3.4949129
2.500       2.9530971       2.7431102       3.5788763
2.500       3.0159289       2.6622722       3.6998664
2.500       3.0787608       2.5843983       3.8208285
2.500       3.1415927       2.5355109       3.9827711
2.500       3.2044245       2.4361255       4.0608790
2.500       3.2672564       2.4162220       4.2693006
2.500       3.3300882       2.3243008       4.3484031
2.500       3.3929201       2.2534469       4.4590103
2.500       3.4557519       2.1690220       4.5348391
2.500       3.5185838       2.1416810       4.7263810
